date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:14	3031/3031	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2015:59:33%20GMT	https://ninjatrader.com/support/helpGuides/nt8/	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/index.html	(from )
22:37:14	334/334	---M-Z	200	added ('OK')	text/plain	date:Tue,%2026%20Apr%202022%2015:07:23%20GMT	https://ninjatrader.com/robots.txt		(from )
22:37:15	7797/7797	---MCZ	200	added ('OK')	text/css	etag:W/%2263a0e45f-1e75%22	https://ninjatrader.com/support/helpGuides/nt8/default.css	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/default.css	(from https://ninjatrader.com/support/helpGuides/nt8/)
22:37:15	95788/95788	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624313d0-1762c%22	https://ninjatrader.com/support/helpGuides/nt8/jquery.js	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/jquery.js	(from https://ninjatrader.com/support/helpGuides/nt8/)
22:37:15	1655/1655	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263cac2eb-677%22	https://ninjatrader.com/support/helpGuides/nt8/helpman_settings.js	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/helpman_settings.js	(from https://ninjatrader.com/support/helpGuides/nt8/)
22:37:15	16263/16263	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263a0e428-3f87%22	https://ninjatrader.com/support/helpGuides/nt8/helpman_navigation.js	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/helpman_navigation.js	(from https://ninjatrader.com/support/helpGuides/nt8/)
22:37:16	479/479	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Dec%202022%2022:23:41%20GMT	https://ninjatrader.com/support/helpGuides/nt8/hmcontextids.js	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/hmcontextids.js	(from https://ninjatrader.com/support/helpGuides/nt8/)
22:37:17	8187/8187	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/welcome.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/welcome.html	(from https://ninjatrader.com/support/helpGuides/nt8/)
22:37:17	495670/495670	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202023%2016:35:38%20GMT	https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/hmcontent.html	(from https://ninjatrader.com/support/helpGuides/nt8/)
22:37:17	3286/3286	---MCZ	200	added ('OK')	text/css	etag:W/%2258655918-cd6%22	https://ninjatrader.com/support/helpGuides/nt8/custom.css	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/custom.css	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:17	6563/6563	---M--	200	added ('OK')	image/png	etag:%2254fddbfa-1ab7%22	https://ninjatrader.com/support/helpGuides/nt8/nt8logo.png	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/nt8logo.png	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:18	1846/1846	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2018:23:21%20GMT	https://ninjatrader.com/support/helpGuides/nt8/nt8_ftsearch.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/nt8_ftsearch.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:18	157/157	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Feb%202015%2022:35:22%20GMT	https://ninjatrader.com/support/helpGuides/nt8/topic_entry.png	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/topic_entry.png	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:19	142070/142070	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/whats_new.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/whats_new.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
